id,transcript,cefr,situation,focus_areas,length_sec,patterns
clip-practice-001,"I'm gonna send the email",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-002,"You're gonna love this meeting",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-003,"We're gonna start at three",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-004,"She's gonna call you back",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-005,"He's gonna finish the report",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-006,"They're gonna update the file",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-007,"I'm gonna check the schedule",A1,work_meetings,"connected_speech,reductions",4,"gonna"
clip-practice-008,"I'm gonna grab some coffee",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-009,"You're gonna need some food",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-010,"We're gonna buy some milk",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-011,"She's gonna find some time",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-012,"He's gonna make some lunch",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-013,"They're gonna take some photos",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-014,"I'm gonna read some books",A1,daily,"connected_speech,reductions",4,"gonna"
clip-practice-015,"We're gonna go to the airport",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-016,"You're gonna head to the station",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-017,"They're gonna walk to the hotel",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-018,"We're gonna drive to the beach",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-019,"I'm gonna fly to the city",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-020,"She's gonna ride to the park",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-021,"He's gonna move to the gate",A1,travel,"connected_speech,reductions",5,"gonna"
clip-practice-022,"I wanna watch that movie",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-023,"You wanna see that show",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-024,"We wanna try that game",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-025,"She's gonna buy that album",A1,videos_shows,"connected_speech,reductions",4,"gonna"
clip-practice-026,"He's gonna read that book",A1,videos_shows,"connected_speech,reductions",4,"gonna"
clip-practice-027,"They wanna play that song",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-028,"I wanna learn that skill",A1,videos_shows,"connected_speech,reductions",4,"wanna"
clip-practice-029,"I gotta go home",A1,general,"connected_speech,reductions",3,"gotta"
clip-practice-030,"You gotta leave now",A1,general,"connected_speech,reductions",3,"gotta"
clip-practice-031,"We gotta finish this",A1,general,"connected_speech,reductions",3,"gotta"
clip-practice-032,"She's gotta call her",A1,general,"connected_speech,reductions",4,"gotta"
