clip_id,total_issues,critical_count,high_count,medium_count,low_count,severity_score
clip-practice-095,3,3,0,0,0,30.0
clip-practice-v2-041,3,2,1,0,0,23.0
clip-practice-093,2,2,0,0,0,20.0
clip-practice-282,2,2,0,0,0,20.0
clip-practice-288,2,2,0,0,0,20.0
clip-practice-290,2,2,0,0,0,20.0
clip-practice-291,2,2,0,0,0,20.0
clip-practice-292,2,2,0,0,0,20.0
clip-practice-294,2,2,0,0,0,20.0
clip-practice-015,2,1,1,0,0,13.0
clip-practice-050,2,1,1,0,0,13.0
clip-practice-054,2,1,1,0,0,13.0
clip-practice-100,2,1,1,0,0,13.0
clip-practice-241,2,1,1,0,0,13.0
clip-practice-289,2,1,1,0,0,13.0
clip-practice-v2-030,2,1,1,0,0,13.0
clip-practice-v2-074,2,1,1,0,0,13.0
clip-practice-051,1,1,0,0,0,10.0
clip-practice-052,1,1,0,0,0,10.0
clip-practice-056,1,1,0,0,0,10.0
clip-practice-064,1,1,0,0,0,10.0
clip-practice-065,1,1,0,0,0,10.0
clip-practice-067,1,1,0,0,0,10.0
clip-practice-070,1,1,0,0,0,10.0
clip-practice-079,1,1,0,0,0,10.0
clip-practice-097,1,1,0,0,0,10.0
clip-practice-149,1,1,0,0,0,10.0
clip-practice-168,1,1,0,0,0,10.0
clip-practice-193,1,1,0,0,0,10.0
clip-practice-214,1,1,0,0,0,10.0
clip-practice-229,1,1,0,0,0,10.0
clip-practice-230,1,1,0,0,0,10.0
clip-practice-232,1,1,0,0,0,10.0
clip-practice-258,1,1,0,0,0,10.0
clip-practice-260,1,1,0,0,0,10.0
clip-practice-261,1,1,0,0,0,10.0
clip-practice-262,1,1,0,0,0,10.0
clip-practice-264,1,1,0,0,0,10.0
clip-practice-266,1,1,0,0,0,10.0
clip-practice-270,1,1,0,0,0,10.0
clip-practice-283,1,1,0,0,0,10.0
clip-practice-287,1,1,0,0,0,10.0
clip-practice-v2-008,1,1,0,0,0,10.0
clip-practice-v2-013,1,1,0,0,0,10.0
clip-practice-v2-015,1,1,0,0,0,10.0
clip-practice-v2-019,1,1,0,0,0,10.0
clip-practice-v2-021,1,1,0,0,0,10.0
clip-practice-v2-023,1,1,0,0,0,10.0
clip-practice-v2-037,1,1,0,0,0,10.0
clip-practice-v2-060,1,1,0,0,0,10.0
clip-practice-v2-069,1,1,0,0,0,10.0
clip-practice-040,1,0,1,0,0,3.0
clip-practice-053,1,0,1,0,0,3.0
clip-practice-154,1,0,1,0,0,3.0
clip-practice-179,1,0,1,0,0,3.0
clip-practice-182,1,0,1,0,0,3.0
clip-practice-196,1,0,1,0,0,3.0
clip-practice-199,1,0,1,0,0,3.0
clip-practice-203,1,0,1,0,0,3.0
clip-practice-217,1,0,1,0,0,3.0
clip-practice-218,1,0,1,0,0,3.0
clip-practice-219,1,0,1,0,0,3.0
clip-practice-221,1,0,1,0,0,3.0
clip-practice-224,1,0,1,0,0,3.0
clip-practice-243,1,0,1,0,0,3.0
clip-practice-245,1,0,1,0,0,3.0
clip-practice-273,1,0,1,0,0,3.0
clip-practice-274,1,0,1,0,0,3.0
clip-practice-275,1,0,1,0,0,3.0
clip-practice-280,1,0,1,0,0,3.0
clip-practice-v2-005,1,0,1,0,0,3.0
clip-practice-v2-012,1,0,1,0,0,3.0
clip-practice-v2-016,1,0,1,0,0,3.0
clip-practice-v2-017,1,0,1,0,0,3.0
clip-practice-v2-027,1,0,1,0,0,3.0
clip-practice-v2-031,1,0,1,0,0,3.0
clip-practice-v2-035,1,0,1,0,0,3.0
clip-practice-v2-036,1,0,1,0,0,3.0
clip-practice-v2-040,1,0,1,0,0,3.0
clip-practice-v2-043,1,0,1,0,0,3.0
clip-practice-v2-046,1,0,1,0,0,3.0
clip-practice-v2-049,1,0,1,0,0,3.0
clip-practice-v2-059,1,0,1,0,0,3.0
clip-practice-v2-068,1,0,1,0,0,3.0
clip-practice-v2-072,1,0,1,0,0,3.0
